,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
358092,A77CKEhl/,A77CKEhl28,28,20,"Goal!  Barcelona 1, Granada CF 0. AndrA©s Iniesta (Barcelona) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Barcelona,Granada,andres iniesta,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
358121,A77CKEhl/,A77CKEhl57,57,40,"Goal!  Barcelona 2, Granada CF 0. Francesc FA¡bregas (Barcelona) converts the penalty with a right footed shot to the top right corner.",1,,1,Barcelona,Granada,francesc fabregas,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
358415,CjOGzzr9/,CjOGzzr972,72,68,Penalty missed! Bad penalty by Grzegorz Krychowiak (Reims) right footed shot is too high. Grzegorz Krychowiak should be disappointed.,1,,1,Stade de Reims,Paris Saint-Germain,grzegorz krychowiak,,,,10.0,2.0,0,14.0,1.0,0,2.0,0
358456,CloqexCm/,CloqexCm10,10,8,"Goal!  Milan 1, Genoa 1. Alberto Gilardino (Genoa) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Genoa,AC Milan,alberto gilardino,,,,,1.0,1,14.0,1.0,0,2.0,0
358492,CloqexCm/,CloqexCm46,46,36,"Penalty saved! Mario Balotelli (Milan) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,AC Milan,Genoa,mario balotelli,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
359185,IisQDCzd/,IisQDCzd93,93,77,"Goal!  Montpellier 1, Guingamp 1. Thibault Giresse (Guingamp) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Guingamp,Montpellier,thibault giresse,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
359336,lvGHrGXs/,lvGHrGXs21,21,21,"Goal!        Goal!  West Ham United 0, Chelsea 1. Frank Lampard (Chelsea) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Chelsea,West Ham,frank lampard,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
359495,neudqS6e/,neudqS6e90,90,85,"Goal!        Goal!  Arsenal 2, Southampton 0. Olivier Giroud (Arsenal) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Arsenal,Southampton,olivier giroud,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
359749,Qg6kKEcS/,Qg6kKEcS81,81,87,"Goal!  Evian Thonon Gaillard 0, Lorient 4. Yann Jouffre (Lorient) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Lorient,Evian Thonon Gaillard,yann jouffre,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
361487,vPGtQzVQ/,vPGtQzVQ19,19,13,"Goal!  Levante 0, Villarreal 1. Bruno (Villarreal) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Villarreal,Levante,bruno,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
